Agent Name,Agency,Genres/Focus,Submission Requirements,Submission Method,Response Timeframe,Writers Represented,Notes,Previously Queried,Status,Date Queried
Monika Woods,Triangle House Literary,Literary fiction & nonfiction / hybrid,Query + 10 pages,Email,8-10 weeks,"Carmen Maria Machado, Maggie Nelson",Strong fit for hybrid/lyric work,,Not Contacted,
PJ Mark,Janklow & Nesbit,Literary fiction & nonfiction,Query + sample pages,Submissions portal,8-12 weeks,"Ottessa Moshfegh, Hanif Abdurraqib",Represents literary voice-driven work,,Not Contacted,
Kate Johnson,Mackenzie Wolf,Literary nonfiction / memoir / hybrid,Query + 25 pages + synopsis,Email,6-8 weeks,Hilary Leichter,Known interest in hybrid memoir,,Not Contacted,
Marya Spence,Janklow & Nesbit,Literary fiction & nonfiction,Query + first 50 pages,Submissions portal,12 weeks,,Very literary,,Not Contacted,
Jacqueline Ko,The Wylie Agency,Literary fiction & nonfiction,Query letter + 10 pages,Email,8 weeks,,Selective but open to hybrid literary work,,Not Contacted,
Michelle Brower,Trellis Literary Management,Literary fiction & memoir,Query + first 10 pages,Email,6-8 weeks,"Kristen Arnett, Garrard Conley",Strong interest in queer and hybrid memoir,,Not Contacted,
Julie Stevenson,Aevitas Creative Management,Literary nonfiction / memoir / essays,Query + 50 pages + synopsis,Submissions portal,8-10 weeks,,Known for lyric and fragmented nonfiction,,Not Contacted,
Duvall Osteen,Aragi Inc.,Literary fiction & nonfiction,Query only,Email,Varies,"Elif Batuman, Rachel Cusk",Very literary / prestige list — accepts unsolicited,,Not Contacted,
Samantha Shea,Georges Borchardt Inc.,Literary fiction & nonfiction / essays,Query + sample,Email,8-12 weeks,,Strong backlist of hybrid and essayistic work,,Not Contacted,
Claudia Ballard,WME,Literary fiction & nonfiction,Query + first 50 pages,Email,8-10 weeks,"Jenny Offill, Lauren Groff",Excellent fit for your comps,,Not Contacted,
